ATG,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G28050,0,0,1,1,1,0,0
AT1G28190,1,1,1,1,1,1,1
AT1G28200,0,0,0,1,0,0,0
AT1G28230,0,0,0,1,1,0,0
AT1G28240,0,0,0,1,1,0,0
AT1G28250,0,0,1,1,0,0,0
AT1G28280,0,0,1,1,1,1,1
AT1G28370,1,1,1,1,1,1,1
AT1G28380,1,1,1,1,1,1,1
AT1G28390,1,1,1,1,1,1,1
AT1G28480,0,1,1,1,1,1,1
AT1G28540,0,0,0,1,0,0,0
AT1G28550,0,0,0,1,0,0,0
AT1G28600,0,1,1,1,1,1,1
AT1G28680,0,0,1,1,1,1,1
AT1G29060,0,0,1,1,1,1,1
AT1G29120,0,0,1,1,1,0,1
AT1G29195,1,0,0,1,0,1,1
AT1G29290,0,1,1,1,1,1,1
AT1G29300,0,0,0,0,1,0,0
AT1G29310,0,0,1,1,1,0,1
AT1G29330,0,0,0,1,1,1,1
AT1G29340,0,1,1,1,1,1,1
AT1G29355,0,0,0,1,0,0,0
AT1G29357,0,0,0,1,0,1,0
AT1G29400,0,0,0,1,0,0,0
AT1G29600,0,0,0,0,1,0,0
AT1G29630,0,0,0,0,1,0,0
AT1G29640,0,0,1,1,1,1,1
AT1G29670,0,0,1,1,0,0,0
AT1G29680,0,0,1,1,0,0,0
AT1G29690,1,1,1,1,1,1,1
AT1G29715,0,1,1,1,1,1,1
AT1G29720,0,1,1,1,0,0,1
AT1G29750,0,0,1,1,0,1,0
AT1G29760,0,0,0,1,0,0,0
AT1G29860,0,0,1,1,1,0,1
AT1G29890,0,0,0,1,0,0,0
AT1G29965,0,0,1,1,0,0,0
AT1G29970,0,0,1,1,1,1,1
AT1G30000,0,0,1,1,0,0,0
